centile,observations,WM-hypointensities,Right-Lateral-Ventricle,Right-Amygdala,CortexVol
0.05,884,622.0727069123353,2215.6268282574865,1277.3466763157626,426297.89284624235
0.05,920,616.7341224854324,2583.5314560560755,1295.2857972226893,429157.15888267965
0.05,946,616.7341224854324,2583.5314560560755,1295.2857972226893,429157.15888267965
0.05,975,616.7341224854324,2583.5314560560755,1295.2857972226893,429157.15888267965
0.05,886,902.1015385192034,3274.9649329941676,1528.9426145841946,484972.7978252309
0.05,945,848.8085909333574,3335.780752095098,1543.483708299866,491079.34379366843
0.05,715,447.1068543383004,2419.1798184972276,1355.0097716984144,377802.7717627643
0.05,958,843.4700065064543,3703.685379893686,1561.4228292067928,493938.60983010574
0.05,696,456.0190299416995,2490.278360147793,1374.290708589722,377444.165845469
0.05,918,616.7341224854324,2583.5314560560755,1295.2857972226893,429157.15888267965
0.05,725,388.06498997003655,2268.693454580125,1306.2721983960241,373306.4596154045
0.05,930,843.4700065064543,3703.685379893686,1561.4228292067928,493938.60983010574
0.05,971,843.4700065064543,3703.685379893686,1561.4228292067928,493938.60983010574
0.05,699,205.06716568494767,2146.8178829923336,1193.7619402612727,348721.16422073985
0.05,731,344.65312511205855,2204.364183074924,1278.584433970535,368805.71113727096
0.05,708,606.6296996104298,3712.6190775319806,1667.3799746145662,430365.3083771037
0.05,894,622.0727069123353,2215.6268282574865,1277.3466763157626,426297.89284624235
0.05,740,335.5789845395068,2046.6915246787257,1242.9443413328922,361496.1283704217
0.05,726,419.77702412318877,2582.597399092884,1398.2453957302068,370908.2820882285
0.05,919,843.4700065064543,3703.685379893686,1561.4228292067928,493938.60983010574
0.05,963,843.4700065064543,3703.685379893686,1561.4228292067928,493938.60983010574
0.05,941,616.7341224854324,2583.5314560560755,1295.2857972226893,429157.15888267965
0.05,702,447.1068543383004,2419.1798184972276,1355.0097716984144,377802.7717627643
0.05,905,622.0727069123353,2215.6268282574865,1277.3466763157626,426297.89284624235
0.05,921,843.4700065064543,3703.685379893686,1561.4228292067928,493938.60983010574
0.05,960,622.0727069123353,2215.6268282574865,1277.3466763157626,426297.89284624235
0.05,737,431.80304970596956,3266.9718068299453,1459.898972245376,413502.6151681659
0.05,929,622.0727069123353,2215.6268282574865,1277.3466763157626,426297.89284624235
0.05,735,561.8853171032977,3695.2489313810756,1663.3827937316107,424850.73887515854
0.05,727,296.93876114421346,2157.203284454469,1249.9187866134494,363059.9828681237
0.05,952,616.7341224854324,2583.5314560560755,1295.2857972226893,429157.15888267965
0.05,733,423.38230197788937,2342.7480221294654,1332.044935064846,376365.98458398954
0.05,948,616.7341224854324,2583.5314560560755,1295.2857972226893,429157.15888267965
0.05,899,622.0727069123353,2215.6268282574865,1277.3466763157626,426297.89284624235
0.05,709,447.1068543383004,2419.1798184972276,1355.0097716984144,377802.7717627643
0.05,700,606.6296996104298,3712.6190775319806,1667.3799746145662,430365.3083771037
0.05,893,616.7341224854324,2583.5314560560755,1295.2857972226893,429157.15888267965
0.05,703,257.19261154763603,2352.1352508893906,1335.5996820408402,351697.1040376971
0.05,889,848.8085909333574,3335.780752095098,1543.483708299866,491079.34379366843
0.05,954,848.8085909333574,3335.780752095098,1543.483708299866,491079.34379366843
0.05,984,843.4700065064543,3703.685379893686,1561.4228292067928,493938.60983010574
0.05,938,622.0727069123353,2215.6268282574865,1277.3466763157626,426297.89284624235
0.05,955,616.7341224854324,2583.5314560560755,1295.2857972226893,429157.15888267965
0.05,980,616.7341224854324,2583.5314560560755,1295.2857972226893,429157.15888267965
0.05,732,335.14943308227566,2575.095007543465,1397.2457617475075,360069.28792773245
0.05,701,431.80304970596956,3266.9718068299453,1459.898972245376,413502.6151681659
0.05,913,616.7341224854324,2583.5314560560755,1295.2857972226893,429157.15888267965
0.05,961,616.7341224854324,2583.5314560560755,1295.2857972226893,429157.15888267965
0.05,890,848.8085909333574,3335.780752095098,1543.483708299866,491079.34379366843
0.05,950,877.8779918004855,4326.166086392517,1581.9412898274682,494182.4025866779
0.05,936,848.8085909333574,3335.780752095098,1543.483708299866,491079.34379366843
0.05,898,616.7341224854324,2583.5314560560755,1295.2857972226893,429157.15888267965
0.05,972,622.0727069123353,2215.6268282574865,1277.3466763157626,426297.89284624235
0.05,933,616.7341224854324,2583.5314560560755,1295.2857972226893,429157.15888267965
0.05,698,447.1068543383004,2419.1798184972276,1355.0097716984144,377802.7717627643
0.05,914,616.7341224854324,2583.5314560560755,1295.2857972226893,429157.15888267965
0.05,947,622.0727069123353,2215.6268282574865,1277.3466763157626,426297.89284624235
0.05,901,675.3656544981814,2154.8110091565586,1262.8055826000912,420191.34687780484
0.05,729,475.71978176477126,3255.280845057524,1487.4176164785965,421066.76401297346
0.05,718,335.5789845395068,2046.6915246787257,1242.9443413328922,361496.1283704217
0.05,922,616.7341224854324,2583.5314560560755,1295.2857972226893,429157.15888267965
0.05,981,848.8085909333574,3335.780752095098,1543.483708299866,491079.34379366843
0.05,720,388.06498997003655,2268.693454580125,1306.2721983960241,373306.4596154045
0.05,928,616.7341224854324,2583.5314560560755,1295.2857972226893,429157.15888267965
